Fold,Random_Forest,XGBoost
Fold 1,70.56499880296863,71.01987072061287
Fold 2,78.79860777724436,77.46039366298608
Fold 3,73.59157037657906,72.0469376758666
Fold 4,74.04479578392622,74.53587255958797
Fold 5,75.47135931046867,74.44783623630813
Mean,74.49426641023737,73.90218217107234
